Hour,sigma_i,r_LinProv,r_Lin,p2
2022-12-03 06,0.0268541122077855,0.38724170163486427,0.5413622596959237,0.0008415231516546442
2022-12-03 07,0.0322450926144119,0.4223078405850266,0.5903845735136924,0.0028357127194185553
2022-12-03 08,0.0232189427494847,0.36359640009092264,0.5083062282277795,0.00024326238440860895
2022-12-03 09,0.0272168503250889,0.38960116582587606,0.5446607806473737,0.0009309279516614328
2022-12-03 10,0.0318840439392524,0.41995936552929214,0.5871014153268432,0.002655719068738265
2022-12-03 11,0.0271748254675512,0.38932781118856996,0.5442786320215267,0.0009202625955889114
2022-12-03 12,0.0221968570353094,0.3569481474598812,0.4990119991915596,0.0001557933708829029
2022-12-03 13,0.0265014068946642,0.3849474967620048,0.5381549709950086,0.0007602613006906327
2022-12-03 14,0.0267269137820483,0.3864143275146281,0.5402055941780985,0.0008115798435773731
2022-12-03 15,0.0243170353886727,0.37073904691237775,0.5182916182494328,0.00037223014562906505
2022-12-03 16,0.0272782995509245,0.39000086809318213,0.5452195627251325,0.0009466692738816764
2022-12-03 17,0.0244531943869617,0.37162470591930874,0.5195297657921382,0.00039105227570524826
2022-12-03 18,0.0217358952943394,0.35394977847310205,0.49482029204010336,0.00012515362305600132
2022-12-03 19,0.0443008371973958,0.5007255647850538,0.7000122200040165,0.012405477508995554
2022-12-03 20,0.0415019623189322,0.4825200199695532,0.674560945415806,0.009636914256760328
2022-12-03 21,0.0259259952404429,0.3812046775531527,0.5329225255843435,0.0006393196435422608
2022-12-03 22,0.0246548752206864,0.37293655786562296,0.5213637292600314,0.0004201545971544756
2022-12-03 23,0.0220660018421316,0.3560969875519945,0.4978220812432839,0.00014658100025097593
2022-12-04 00,0.0250337041116786,0.37540068600705345,0.5248085699711255,0.00047888101753613114
2022-12-04 01,0.0239864938647815,0.36858900849055004,0.5152858736368053,0.00032922782983255583
2022-12-04 02,0.0281002730305873,0.395347471878975,0.5526940921855593,0.0011742416106537176
2022-12-04 03,0.0208359273075447,0.34809585208211563,0.4866365277251066,7.865289822481368e-05
2022-12-04 04,0.0226048912598411,0.3596022444393959,0.5027224155341595,0.00018730041021379693
2022-12-04 05,0.0341379578015992,0.43462016017465976,0.6075971441820941,0.00389013069400933
2022-12-04 06,0.025567674958325,0.3788739495864987,0.5296641777529056,0.000571043742590277
2022-12-04 07,0.028402619048766,0.39731410998276984,0.5554434439299083,0.0012660775031354777
2022-12-04 08,0.0269471470517961,0.38784685552547615,0.5422082622733897,0.0008638841405666646
2022-12-04 09,0.027990641006034,0.39463436006694763,0.551697164890939,0.001142033982525706
2022-12-04 10,0.0353676118423869,0.4426185605030841,0.6187788739840958,0.004673256030663383
2022-12-04 11,0.0265585122038311,0.3853189436148958,0.5386742521230201,0.0007730445873899719
2022-12-04 12,0.0228469870245815,0.36117697910457813,0.5049238879302508,0.00020808857498806187
2022-12-04 13,0.021003139166367,0.3491834973401786,0.48815705119188896,8.60826041715979e-05
2022-12-04 14,0.0247467344415231,0.3735340648047605,0.5221990414317057,0.0004339022129936938
2022-12-04 15,0.0219228687674022,0.35516596500910863,0.49652051566933714,0.00013697759197381777
2022-12-04 16,0.0221728285541367,0.3567918519447783,0.49879349872304285,0.00015407021022599326
2022-12-04 17,0.0227470628647844,0.3605270130116544,0.5040152380836423,0.00019931272278881967
2022-12-04 18,0.0287348939820527,0.39947542352899706,0.5584649511187189,0.001372159357975467
2022-12-04 19,0.0264778551130775,0.3847943019841815,0.5379408053440834,0.0007550307769367611
2022-12-04 20,0.0249567863584571,0.3749003672489136,0.5241091264650894,0.0004665198194517537
2022-12-04 21,0.0262739644435969,0.3834680759534097,0.5360867469669638,0.0007107589571244278
2022-12-04 22,0.0231205267577397,0.3629562440189016,0.5074112927488673,0.00023356289117275838
2022-12-04 23,0.0240474922451471,0.368985778191105,0.5158405559986596,0.00033688184689798694
2022-12-05 00,0.0297370243697972,0.40599387486293903,0.5675777184910411,0.0017254493519738272
2022-12-05 01,0.0246342369927617,0.37280231457154556,0.5211760577031614,0.0004171085962117992
2022-12-05 02,0.0241186000115708,0.36944830534382556,0.516487167000291,0.00034596386776947143
2022-12-05 03,0.0342617826980663,0.4354255908565572,0.608723132866008,0.003965532681803694
2022-12-05 04,0.029170939058183,0.4023117197264985,0.562430081196817,0.0015196746413095557
2022-12-05 05,0.0234634824897696,0.36518703182483264,0.5105299246586601,0.00026862966319726
2022-12-05 06,0.0389654895633772,0.4660212944352764,0.6514957969578002,0.00738398500030934
2022-12-05 07,0.0357988696460835,0.4454237174369099,0.6227004715033876,0.004965775471769106
2022-12-05 08,0.0355597069448817,0.44386806115930033,0.6205256706123643,0.004802421260048358
2022-12-05 09,0.0236032554745584,0.3660961983467622,0.5118009356078264,0.00028396127095470686
2022-12-05 10,0.0264052938453934,0.38432232039584496,0.5372809770814815,0.0007390682519747586
2022-12-05 11,0.0265089884667567,0.3849968118105495,0.5382239132241241,0.0007619502316190794
2022-12-05 12,0.0228051344805334,0.36090474529656713,0.5045433062190139,0.0002043789965972064
2022-12-05 13,0.0292559470372227,0.4028646621191688,0.5632030923211715,0.0015495416960424541
