Hour,sigma_i,r_LinProv,r_Lin,p2
2022-12-01 00,0.0248297405788577,0.4473491231296017,0.4473491231296017,0.0009838905028269115
2022-12-01 01,0.0231719080254066,0.4174805090485689,0.4174805090485689,0.0006994135089657889
2022-12-01 02,0.027947552386926,0.5035216946469251,0.5035216946469251,0.001685223295532205
2022-12-01 03,0.0222459639348608,0.4007980843709062,0.4007980843709062,0.0005661245694851778
2022-12-01 04,0.0172122525882456,0.3101073923016847,0.3101073923016847,0.00012345645785781316
2022-12-01 05,0.0247345221647859,0.4456336048419446,0.4456336048419446,0.0009659197769942314
2022-12-01 06,0.0255451871927247,0.4602390852435019,0.4602390852435019,0.0011253895390913498
2022-12-01 07,0.0329144822719615,0.5930092074809825,0.5930092074809825,0.0032563396142659667
2022-12-01 08,0.0271538309433863,0.48922148113285463,0.48922148113285463,0.0014857291899205167
2022-12-01 09,0.0247620272830202,0.44612915534858855,0.44612915534858855,0.0009710901812586655
2022-12-01 10,0.0247942572071678,0.44670983110152973,0.44670983110152973,0.0009771701267275521
2022-12-01 11,0.0266171990660706,0.4795531642610714,0.4795531642610714,0.0013589908566022657
2022-12-01 12,0.0256029312521931,0.461279440630506,0.461279440630506,0.0011373106143487916
2022-12-01 13,0.024177607533522,0.43559986038284676,0.43559986038284676,0.0008648284799206885
2022-12-01 14,0.0251793000251548,0.45364701864268764,0.45364701864268764,0.0010515945218074235
2022-12-01 15,0.0314532103415439,0.5666819603375778,0.5666819603375778,0.002737234276302784
2022-12-01 16,0.0285618589339105,0.5145894500370192,0.5145894500370192,0.0018494870102545118
2022-12-01 17,0.0239033095261417,0.43065792501755107,0.43065792501755107,0.0008175409826105464
2022-12-01 18,0.0291094201388717,0.5244546769459042,0.5244546769459042,0.002003143842689618
2022-12-01 19,0.0280139338556019,0.5047176673438571,0.5047176673438571,0.0017025589073913047
2022-12-01 20,0.0255034145647926,0.4594864817913274,0.4594864817913274,0.0011168124868455491
2022-12-01 21,0.0312417880926758,0.5628728364628899,0.5628728364628899,0.002665989217531927
2022-12-01 22,0.0233991887731303,0.4215753501877878,0.4215753501877878,0.0007348907711273228
2022-12-01 23,0.0350208869059579,0.6,0.6,0.00484566335539723
2022-12-02 00,0.0298435203407229,0.5376807145093826,0.5376807145093826,0.002219811440344679
2022-12-02 01,0.0262705024552336,0.4733068474960062,0.4733068474960062,0.0012805939297867444
2022-12-02 02,0.0416332301347121,0.6,0.6,0.01328285567057548
2022-12-02 03,0.025114780233588,0.45248458715894957,0.45248458715894957,0.0010388928332407618
2022-12-02 04,0.0200021623934552,0.36037226321354227,0.36037226321354227,0.00031419350431340727
2022-12-02 05,0.0277271968118319,0.4995516220244587,0.4995516220244587,0.0016283978204027433
2022-12-02 06,0.0278816783280445,0.5023348637823803,0.5023348637823803,0.0016681195597673993
2022-12-02 07,0.0322960148406368,0.5818664868307755,0.5818664868307755,0.00303098186720885
2022-12-02 08,0.0300715937024773,0.5417898359102292,0.5417898359102292,0.00228960258152216
2022-12-02 09,0.0257550323392274,0.46401979499287865,0.46401979499287865,0.0011690709160577836
2022-12-02 10,0.0252187032442892,0.45435693324982074,0.45435693324982074,0.0010593974411831479
2022-12-02 11,0.0291546438707594,0.5252694577826333,0.5252694577826333,0.002016138952854216
2022-12-02 12,0.0252640408636965,0.45517376595986164,0.45517376595986164,0.0010684185457354907
2022-12-02 13,0.0267019046072371,0.4810792756372537,0.4810792756372537,0.0013785602493727135
2022-12-02 14,0.0280075649807025,0.5046029214570638,0.5046029214570638,0.0017008913080330465
2022-12-02 15,0.0318534823443784,0.5738935270034741,0.5738935270034741,0.002874809104760304
2022-12-02 16,0.0279189043479058,0.503005552519126,0.503005552519126,0.0016777728699662576
2022-12-02 17,0.0263987536842089,0.47561750695054944,0.47561750695054944,0.001309276615661443
2022-12-02 18,0.0359286209777676,0.6,0.6,0.0057349262339397074
2022-12-02 19,0.0337558080608511,0.6,0.6,0.0037525745059035767
2022-12-02 20,0.0316993091831242,0.5711158407736021,0.5711158407736021,0.0028214033811005514
2022-12-02 21,0.0489113246843162,0.6,0.6,0.027051448286610623
2022-12-02 22,0.028283984742405,0.5095830837596292,0.5095830837596292,0.0017741189779944323
2022-12-02 23,0.0314138065744733,0.5659720358584615,0.5659720358584615,0.0027238813011539673
2022-12-03 00,0.0283644231100715,0.5110323148994916,0.5110323148994916,0.0017957554532643475
2022-12-03 01,0.0451894364018399,0.6,0.6,0.01952367428407845
2022-12-03 02,0.0620735836437602,0.6,0.6,0.05829942002249865
