Hour,sigma_i,r_LinProv,r_Lin,p2
2022-12-03 18,0.0217358952943394,0.3,0.2971842135022052,0.0018167147278087745
2022-12-03 19,0.0443008371973958,0.8999999999999999,0.8915526405066154,0.006268058425021376
2022-12-03 20,0.0415019623189322,0.6,0.5943684270044104,0.013380052652152303
2022-12-03 21,0.0259259952404429,0.6,0.5943684270044104,0.00035565045555989596
2022-12-03 22,0.0246548752206864,0.3,0.2971842135022052,0.004656363326137289
2022-12-03 23,0.0220660018421316,0.3,0.2971842135022052,0.0020563258281362444
2022-12-04 00,0.0250337041116786,0.6,0.5943684270044104,0.00023585696804874105
2022-12-04 01,0.0239864938647815,0.3,0.2971842135022052,0.003858575115383793
2022-12-04 02,0.0281002730305873,0.6,0.5943684270044104,0.0008332038581821435
2022-12-04 03,0.0208359273075447,0.3,0.2971842135022052,0.0012601080564877828
2022-12-04 04,0.0226048912598411,0.3,0.2971842135022052,0.0024905054681084544
2022-12-04 05,0.0341379578015992,0.6,0.5943684270044104,0.004199683798001579
2022-12-04 06,0.025567674958325,0.6,0.5943684270044104,0.0003030385970683324
2022-12-04 07,0.028402619048766,0.6,0.5943684270044104,0.00092465450316471
2022-12-04 08,0.0269471470517961,0.6,0.5943684270044104,0.0005433477385727086
2022-12-04 09,0.027990641006034,0.6,0.5943684270044104,0.0008017036824332751
2022-12-04 10,0.0353676118423869,0.6,0.5943684270044104,0.005335979874806417
2022-12-04 11,0.0265585122038311,0.6,0.5943684270044104,0.00046490880207569047
2022-12-04 12,0.0228469870245815,0.3,0.2971842135022052,0.0027033773659943744
2022-12-04 13,0.021003139166367,0.3,0.2971842135022052,0.0013532101276619616
2022-12-04 14,0.0247467344415231,0.3,0.2971842135022052,0.004773032731640485
2022-12-04 15,0.0219228687674022,0.3,0.2971842135022052,0.0019500153602504664
2022-12-04 16,0.0221728285541367,0.3,0.2971842135022052,0.0021381091103872545
2022-12-04 17,0.0227470628647844,0.3,0.2971842135022052,0.0026141581878549314
2022-12-04 18,0.0287348939820527,0.6,0.5943684270044104,0.001033146984951641
2022-12-04 19,0.0264778551130775,0.6,0.5943684270044104,0.0004497435778137517
2022-12-04 20,0.0249567863584571,0.3,0.2971842135022052,0.005046207006882308
2022-12-04 21,0.0262739644435969,0.6,0.5943684270044104,0.0004130491293155626
2022-12-04 22,0.0231205267577397,0.3,0.2971842135022052,0.0029574583401052274
2022-12-04 23,0.0240474922451471,0.3,0.2971842135022052,0.003927665385162211
2022-12-05 00,0.0297370243697972,0.6,0.5943684270044104,0.0014141828596694196
2022-12-05 01,0.0246342369927617,0.3,0.2971842135022052,0.004630384833780372
2022-12-05 02,0.0241186000115708,0.3,0.2971842135022052,0.004009146498314469
2022-12-05 03,0.0342617826980663,0.6,0.5943684270044104,0.0043067621836023915
2022-12-05 04,0.029170939058183,0.6,0.5943684270044104,0.0011887419675640457
2022-12-05 05,0.0234634824897696,0.3,0.2971842135022052,0.003296616420167002
2022-12-05 06,0.0389654895633772,0.6,0.5943684270044104,0.00958866433994607
2022-12-05 07,0.0357988696460835,0.6,0.5943684270044104,0.005773029182723802
2022-12-05 08,0.0355597069448817,0.6,0.5943684270044104,0.005528180889288669
2022-12-05 09,0.0236032554745584,0.3,0.2971842135022052,0.0034414802122068613
2022-12-05 10,0.0264052938453934,0.6,0.5943684270044104,0.0004364175350942121
2022-12-05 11,0.0265089884667567,0.6,0.5943684270044104,0.0004555530676967363
2022-12-05 12,0.0228051344805334,0.3,0.2971842135022052,0.002665775520069061
2022-12-05 13,0.0292559470372227,0.6,0.5943684270044104,0.0012208770641206595
2022-12-05 14,0.0296499922594073,0.6,0.5943684270044104,0.001377748668397854
2022-12-05 15,0.0311068693694349,0.6,0.5943684270044104,0.0020772610823716576
2022-12-05 16,0.0286428051641247,0.6,0.5943684270044104,0.0010022227773104654
2022-12-05 17,0.0256703934948353,0.6,0.5943684270044104,0.00031747396098182393
2022-12-05 18,0.0358609369358442,0.6,0.5943684270044104,0.005837578286633385
2022-12-05 19,0.0242923373817881,0.3,0.2971842135022052,0.004212494445871552
2022-12-05 20,0.0231928431522886,0.3,0.2971842135022052,0.0030270579116649992
2022-12-05 21,0.0530905098644361,0.8999999999999999,0.8915526405066154,0.016850557850437424
2022-12-05 22,0.0412168145266176,0.6,0.5943684270044104,0.01292318354610709
2022-12-05 23,0.0341826088840193,0.6,0.5943684270044104,0.004238107229726795
2022-12-06 00,0.0299912250458339,0.6,0.5943684270044104,0.0015243804201752233
2022-12-06 01,0.03124245359058,0.6,0.5943684270044104,0.0021524163149416564
2022-12-06 02,0.025510077147471,0.6,0.5943684270044104,0.00029516510204267293
2022-12-06 03,0.0602963858916737,0.8999999999999999,0.8915526405066154,0.02888044204734167
2022-12-06 04,0.0205157177884035,0.3,0.2971842135022052,0.001094334964962553
2022-12-06 05,0.0336495898752869,0.6,0.5943684270044104,0.0037932950406254257
2022-12-06 06,0.0270993303343547,0.6,0.5943684270044104,0.0005765713921355334
2022-12-06 07,0.0285521842138848,0.6,0.5943684270044104,0.0009724358468010663
2022-12-06 08,0.031576541362445,0.6,0.5943684270044104,0.002345213367707078
2022-12-06 09,0.0271563556929861,0.6,0.5943684270044104,0.0005893962891106164
2022-12-06 10,0.037145251223761,0.6,0.5943684270044104,0.00726596688254119
2022-12-06 11,0.0390985731123841,0.6,0.5943684270044104,0.009771880409573544
2022-12-06 12,0.0253533783810059,0.6,0.5943684270044104,0.0002745300063246088
2022-12-06 13,0.0280183305119353,0.6,0.5943684270044104,0.0008095775508493542
2022-12-06 14,0.0255219739477079,0.6,0.5943684270044104,0.0002967784985571367
2022-12-06 15,0.0279383000071795,0.6,0.5943684270044104,0.0007869702788785003
