Hour,sigma_i,r_LinProv,r_Lin,p2
2022-12-29 04,0.0408298464036059,0.7356176730143555,0.7356176730143555,0.006816015068239556
2022-12-29 05,0.0265566696388431,0.4784626258356794,0.4784626258356794,0.0013451068128837223
2022-12-29 06,0.0275147747354309,0.4957244845918482,0.4957244845918482,0.0015746669840415366
2022-12-29 07,0.0327439338228698,0.5899364931725113,0.5899364931725113,0.003193374033451122
2022-12-29 08,0.036175594319131,0.6517635714299501,0.6517635714299501,0.004576886884118811
2022-12-29 09,0.0301541027838909,0.5432763744064079,0.5432763744064079,0.0023151386424427422
2022-12-29 10,0.0343301250888162,0.6185143701617359,0.6185143701617359,0.0038027462225958186
2022-12-29 11,0.0284332769038542,0.5122728306501502,0.5122728306501502,0.0018143929867272955
2022-12-29 12,0.0446517952989925,0.8044764466921273,0.8044764466921273,0.008925615775316002
2022-12-29 13,0.0295117848146964,0.531703946600448,0.531703946600448,0.002120391782306716
2022-12-29 14,0.0275268927936181,0.4959428115891384,0.4959428115891384,0.0015777044800415444
2022-12-29 15,0.0287049935379604,0.5171682582773979,0.5171682582773979,0.0018889955200076108
2022-12-29 16,0.02802437525973,0.5049057866263004,0.5049057866263004,0.0017052948422719332
2022-12-29 17,0.0253425458591322,0.4565881641795255,0.4565881641795255,0.0010841481046159037
2022-12-29 18,0.0384470389379643,0.6926874286585575,0.6926874286585575,0.005620716557281724
2022-12-29 19,0.0348622172852955,0.6281008971237534,0.6281008971237534,0.004018896341448851
2022-12-29 20,0.026345680566261,0.474661306353111,0.474661306353111,0.0012973618204852688
2022-12-29 21,0.0336627825834737,0.6064910836660937,0.6064910836660937,0.0035399220232106327
2022-12-29 22,0.053607150929548,0.9658220908771479,0.9658220908771479,0.014612550987154025
2022-12-29 23,0.0318897625312741,0.574547174984339,0.574547174984339,0.002887452129052945
2022-12-30 00,0.0321244413529327,0.5787753047448027,0.5787753047448027,0.0029699269239989445
2022-12-30 01,0.0552119436113851,0.9947351033488093,0.9947351033488093,0.015718033332746736
2022-12-30 02,0.0356294618102774,0.6419240848605151,0.6419240848605151,0.004340685742267965
