Hour,sigma_i,r_LinProv,r_Lin,p2
2022-12-03 09,0.0272168503250889,0.4903568802343995,0.4217069170015836,0.0027633587140459097
2022-12-03 10,0.0318840439392524,0.5744441450264415,0.4940219647227397,0.004908680803060838
2022-12-03 11,0.0271748254675512,0.48959973244586624,0.42105576990344495,0.002746826916131256
2022-12-03 12,0.0221968570353094,0.3999133418024463,0.3439254739501038,0.0011633344119293975
2022-12-03 13,0.0265014068946642,0.47746697547551337,0.4106215989089415,0.00248900810751884
2022-12-03 14,0.0267269137820483,0.4815298575668737,0.4141156775075114,0.0025738521230394564
2022-12-03 15,0.0243170353886727,0.43811188536931056,0.3767762214176071,0.001746058075302018
2022-12-03 16,0.0272782995509245,0.4914639903633694,0.4226590317124977,0.002787624799182069
2022-12-03 17,0.0244531943869617,0.4405650164560951,0.37888591415224177,0.0017881522170198028
2022-12-03 18,0.0217358952943394,0.3916083484431999,0.3367831796611519,0.001054645477570525
2022-12-03 19,0.0443008371973958,0.7981533520747714,0.6864118827843034,0.013031695581033278
2022-12-03 20,0.0415019623189322,0.7477269604395609,0.6430451859780224,0.010957510190375764
2022-12-03 21,0.0259259952404429,0.46709997634650785,0.40170597965799676,0.00227937264584756
2022-12-03 22,0.0246548752206864,0.444198632515524,0.3820108239633506,0.0018515381412821932
2022-12-03 23,0.0220660018421316,0.39755576759666145,0.34189796013312884,0.001131831922585888
2022-12-04 00,0.0250337041116786,0.45102386581441,0.3878805246003926,0.0019739367960254395
2022-12-04 01,0.0239864938647815,0.4321566293971013,0.3716547012815071,0.001646216152621439
2022-12-04 02,0.0281002730305873,0.5062732113536218,0.43539496176411474,0.0031227796607195563
2022-12-04 03,0.0208359273075447,0.37539392653014403,0.3228387768159239,0.0008606879968731413
2022-12-04 04,0.0226048912598411,0.40726475781790594,0.3502476917233991,0.0012648809163621766
2022-12-04 05,0.0341379578015992,0.6150521564846458,0.5289448545767954,0.0061484915796044225
2022-12-04 06,0.025567674958325,0.46064423978752495,0.39615404621727146,0.002153835721858037
2022-12-04 07,0.028402619048766,0.5117204783391309,0.4400796113716526,0.0032509574355501837
2022-12-04 08,0.0269471470517961,0.48549772665486307,0.41752804492318224,0.002658163638853486
2022-12-04 09,0.027990641006034,0.5042980078715281,0.43369628676951416,0.0030769488363784235
2022-12-04 10,0.0353676118423869,0.6372064216551624,0.5479975226234397,0.006875199507740049
2022-12-04 11,0.0265585122038311,0.47849582271218616,0.4115064075324801,0.002510350689861887
2022-12-04 12,0.0228469870245815,0.411626516158717,0.35399880389649657,0.0013275109758021663
2022-12-04 13,0.021003139166367,0.3784065266088062,0.3254296128835733,0.0008949157958717248
2022-12-04 14,0.0247467344415231,0.44585362934330625,0.38343412123524334,0.0018808178618724225
2022-12-04 15,0.0219228687674022,0.39497698690953814,0.3396802087422028,0.0010979629681869484
2022-12-04 16,0.0221728285541367,0.3994804287017796,0.3435531686835304,0.0011575110960309754
2022-12-04 17,0.0227470628647844,0.4098262160257886,0.3524505457821782,0.0013014453960292056
2022-12-04 18,0.0287348939820527,0.5177069645680817,0.4452279895285503,0.003394824753590258
2022-12-04 19,0.0264778551130775,0.4770426509116909,0.41025667978405417,0.002480234045172832
2022-12-04 20,0.0249567863584571,0.44963806440631804,0.3866887353894335,0.0019487328847878518
2022-12-04 21,0.0262739644435969,0.4733692209812904,0.40709753004390975,0.0024049654136585746
2022-12-04 22,0.0231205267577397,0.41655478995121975,0.35823711935804897,0.0014004148017079164
2022-12-04 23,0.0240474922451471,0.4332556167941792,0.3725998304429941,0.001664390869193739
2022-12-05 00,0.0297370243697972,0.5357620122555615,0.4607553305397829,0.003847471988326337
2022-12-05 01,0.0246342369927617,0.4438268004725857,0.3816910484064237,0.0018449950394073761
2022-12-05 02,0.0241186000115708,0.43453674161529116,0.3737015977891504,0.0016857206825400945
2022-12-05 03,0.0342617826980663,0.617283068188304,0.5308634386419414,0.006220117291786991
2022-12-05 04,0.029170939058183,0.5255630427188926,0.4519842167382477,0.0035883445935199227
2022-12-05 05,0.0234634824897696,0.4227337085552459,0.36355098935751146,0.001495032124454471
2022-12-05 06,0.0389654895633772,0.702028180001805,0.6037442348015523,0.009184569639870716
2022-12-05 07,0.0357988696460835,0.6449762491212917,0.5546795742443108,0.0071380024843455256
2022-12-05 08,0.0355597069448817,0.6406673348042796,0.5509739079316804,0.006991761967721105
2022-12-05 09,0.0236032554745584,0.42525195162685164,0.3657166783990924,0.0015346201928226506
