Hour,sigma_i,r_LinProv,r_Lin,p2
2022-12-02 06,0.0278816783280445,0.39392560208258076,0.49634625862405174,0.001754675013878238
2022-12-02 07,0.0322960148406368,0.4226390689935474,0.5325252269318698,0.0041630764068376165
2022-12-02 08,0.0300715937024773,0.4081701125457551,0.5142943418076514,0.002801607294091054
2022-12-02 09,0.0257550323392274,0.3800926332871456,0.47891671794180346,0.0010103400059113306
2022-12-02 10,0.0252187032442892,0.3766040302599484,0.47452107812753497,0.0008626443383723659
2022-12-02 11,0.0291546438707594,0.40220572614772154,0.5067792149461291,0.002327812722982161
2022-12-02 12,0.0252640408636965,0.37689893306832284,0.4748926556660868,0.0008745357739197305
2022-12-02 13,0.0267019046072371,0.3862516529855424,0.48667708276178345,0.001309681839824243
2022-12-02 14,0.0280075649807025,0.39474444365148176,0.49737799900086704,0.0018070084025370973
2022-12-02 15,0.0318534823443784,0.41976057476183304,0.5288983241999097,0.003868509650830591
2022-12-02 16,0.0279189043479058,0.39416774222900264,0.4966513552085433,0.0017700520242043452
2022-12-02 17,0.0263987536842089,0.3842797793024716,0.4841925219211142,0.0012083633216622783
2022-12-02 18,0.0359286209777676,0.4462676971739185,0.5622972984391373,0.007005414716115931
2022-12-02 19,0.0337558080608511,0.432134431253744,0.5444893833797174,0.005216191623516566
2022-12-02 20,0.0316993091831242,0.41875774093808543,0.5276347535819876,0.0037686279635775477
2022-12-02 21,0.0489113246843162,0.530714914151936,0.6687007918314393,0.02187497438433947
2022-12-02 22,0.028283984742405,0.39654244198227073,0.49964347689766114,0.001925250053401923
2022-12-02 23,0.0314138065744733,0.4169006623752918,0.5252948345928676,0.003587426648975621
2022-12-03 00,0.0283644231100715,0.3970656609080993,0.5003027327442051,0.0019605206390323625
2022-12-03 01,0.0451894364018399,0.5065055418622735,0.6381969827464646,0.017050577651988648
2022-12-03 02,0.0620735836437602,0.6163300651553717,0.7765758820957683,0.04053591693062347
2022-12-03 03,0.0349628930167871,0.4399860288476575,0.5543823963480484,0.006178494930207706
2022-12-03 04,0.0303824401941858,0.4101920427788946,0.5168419739014072,0.002973858146069516
2022-12-03 05,0.0278436978577121,0.3936785545421313,0.49603497872308544,0.001739071520102761
2022-12-03 06,0.0268541122077855,0.38724170163486427,0.48792454405992897,0.0013625337737484709
2022-12-03 07,0.0322450926144119,0.4223078405850266,0.5321078791371335,0.004128588514423992
2022-12-03 08,0.0232189427494847,0.36359640009092264,0.4581314641145625,0.00044008154349174753
2022-12-03 09,0.0272168503250889,0.38960116582587606,0.4908974689406038,0.0014938906300779858
2022-12-03 10,0.0318840439392524,0.41995936552929214,0.529148800566908,0.003888477841644886
2022-12-03 11,0.0271748254675512,0.38932781118856996,0.49055304209759815,0.0014782802468639431
2022-12-03 12,0.0221968570353094,0.3569481474598812,0.4497546657994503,0.0002934260734595677
2022-12-03 13,0.0265014068946642,0.3849474967620048,0.48503384592012605,0.0012420865923384924
2022-12-03 14,0.0267269137820483,0.3864143275146281,0.48688205266843143,0.0013182745424864977
2022-12-03 15,0.0243170353886727,0.37073904691237775,0.46713119910959594,0.000648128393922042
2022-12-03 16,0.0272782995509245,0.39000086809318213,0.4914010937974095,0.0015169022330343124
2022-12-03 17,0.0244531943869617,0.37162470591930874,0.468247129458329,0.0006778979435050088
2022-12-03 18,0.0217358952943394,0.35394977847310205,0.44597672087610857,0.00024044780690491148
2022-12-03 19,0.0443008371973958,0.5007255647850538,0.6309142116291678,0.015951208120674045
2022-12-03 20,0.0415019623189322,0.4825200199695532,0.607975225161637,0.012651250557872949
2022-12-03 21,0.0259259952404429,0.3812046775531527,0.48031789371697237,0.0010606926634347373
2022-12-03 22,0.0246548752206864,0.37293655786562296,0.4699000629106849,0.0007236808097200937
2022-12-03 23,0.0220660018421316,0.3560969875519945,0.44868220431551303,0.00027760468131265997
2022-12-04 00,0.0250337041116786,0.37540068600705345,0.47300486436888733,0.000815239074013287
2022-12-04 01,0.0239864938647815,0.36858900849055004,0.46442215069809306,0.0005796019903212011
2022-12-04 02,0.0281002730305873,0.395347471878975,0.4981378145675085,0.0018461546653258784
2022-12-04 03,0.0208359273075447,0.34809585208211563,0.4386007736234657,0.00015763603650061913
2022-12-04 04,0.0226048912598411,0.3596022444393959,0.4530988279936389,0.00034693480830919044
2022-12-04 05,0.0341379578015992,0.43462016017465976,0.5476214018200714,0.005512072784854441
2022-12-04 06,0.025567674958325,0.3788739495864987,0.4773811764789884,0.0009569891468750278
2022-12-04 07,0.028402619048766,0.39731410998276984,0.50061577857829,0.0019774052242919164
2022-12-04 08,0.0269471470517961,0.38784685552547615,0.48868703796209995,0.0013954962093068878
2022-12-04 09,0.027990641006034,0.39463436006694763,0.49723929368435404,0.0017999177142477448
2022-12-04 10,0.0353676118423869,0.4426185605030841,0.557699386233886,0.00651900863332493
2022-12-04 11,0.0265585122038311,0.3853189436148958,0.48550186895476877,0.0012611054884078658
2022-12-04 12,0.0228469870245815,0.36117697910457813,0.45508299367176847,0.00038179178318136463
2022-12-04 13,0.021003139166367,0.3491834973401786,0.43997120664862505,0.00017111233215437495
2022-12-04 14,0.0247467344415231,0.3735340648047605,0.4706529216539982,0.0007452098899116529
2022-12-04 15,0.0219228687674022,0.35516596500910863,0.44750911591147685,0.00026101643633992115
2022-12-04 16,0.0221728285541367,0.3567918519447783,0.44955773345042066,0.00029047322529445206
2022-12-04 17,0.0227470628647844,0.3605270130116544,0.45426403639468454,0.00036711648336032444
2022-12-04 18,0.0287348939820527,0.39947542352899706,0.5033390336465363,0.0021280038889026523
2022-12-04 19,0.0264778551130775,0.3847943019841815,0.4848408205000687,0.0012342966503149687
