DateHour,Std F_rec,Std F_ori
2022-12-01 00,0.02482974057885777,0.0255156676324457
2022-12-01 01,0.023171908025406626,0.023812037089478016
2022-12-01 02,0.027947552386926082,0.028727869847943916
2022-12-01 03,0.022245963934860898,0.022869954805171153
2022-12-01 04,0.017212252588245644,0.017698030296604335
2022-12-01 05,0.024734522164785964,0.025433329621392373
2022-12-01 06,0.025545187192724757,0.02625244517821651
2022-12-01 07,0.03291448227196157,0.03380412842053721
2022-12-01 08,0.027153830943386397,0.027863054272345807
2022-12-01 09,0.024762027283020235,0.025408165005613312
2022-12-01 10,0.02479425720716788,0.025441063916946585
2022-12-01 11,0.026617199066070688,0.027316369284239556
2022-12-01 12,0.025602931252193126,0.02627889527373793
2022-12-01 13,0.024177607533522008,0.024816663239253276
2022-12-01 14,0.02517930002515487,0.025843165590420294
2022-12-01 15,0.03145321034154399,0.03227458201956245
2022-12-01 16,0.028561858933910545,0.02929914099196299
2022-12-01 17,0.023903309526141756,0.024520512000614978
2022-12-01 18,0.0291094201388717,0.029859417691633413
2022-12-01 19,0.028013933855601955,0.028736916188157793
2022-12-01 20,0.02550341456479262,0.026162985631144782
2022-12-01 21,0.031241788092675894,0.032051425161620774
2022-12-01 22,0.02339918877313038,0.024013859324675733
2022-12-01 23,0.035020886905957935,0.035956845060249036
2022-12-02 00,0.029843520340722986,0.03064853360566098
2022-12-02 01,0.02627050245523366,0.026993117034227947
2022-12-02 02,0.041633230134712124,0.042778321819031136
2022-12-02 03,0.02511478023358807,0.025802767573664117
2022-12-02 04,0.020002162393455283,0.0205516144135259
2022-12-02 05,0.027727196811831903,0.028490009936554556
2022-12-02 06,0.027881678328044567,0.028637699651499714
2022-12-02 07,0.03229601484063681,0.033149538965404984
2022-12-02 08,0.030071593702477303,0.030842879090017084
2022-12-02 09,0.02575503233922744,0.02640725658124325
2022-12-02 10,0.0252187032442892,0.02585881587084318
2022-12-02 11,0.029154643870759417,0.029892277521717237
2022-12-02 12,0.02526404086369658,0.025904317504476387
2022-12-02 13,0.026701904607237165,0.0273779021922034
2022-12-02 14,0.028007564980702532,0.028720095650872413
2022-12-02 15,0.031853482344378445,0.032670828049676956
2022-12-02 16,0.02791890434790582,0.028640932585652586
2022-12-02 17,0.026398753684208937,0.027081403483872352
2022-12-02 18,0.03592862097776765,0.0368022110580936
2022-12-02 19,0.03375580806085112,0.03459563507248663
2022-12-02 20,0.03169930918312423,0.03252881056063493
2022-12-02 21,0.04891132468431621,0.05016844840013947
2022-12-02 22,0.028283984742405073,0.02903700732293866
2022-12-02 23,0.031413806574473346,0.03226387806376584
2022-12-03 00,0.028364423110071573,0.02914891868782418
2022-12-03 01,0.04518943640183992,0.04639799609092936
2022-12-03 02,0.06207358364376022,0.06380181589298323
2022-12-03 03,0.03496289301678713,0.03594608241545771
2022-12-03 04,0.030382440194185897,0.03128791401196621
2022-12-03 05,0.027843697857712176,0.02867065419274395
2022-12-03 06,0.02685411220778557,0.027646717676522308
2022-12-03 07,0.03224509261441195,0.03318368205928504
2022-12-03 08,0.02321894274948476,0.023871213240208244
2022-12-03 09,0.027216850325088925,0.027967746124198684
2022-12-03 10,0.03188404393925243,0.032746750592818646
2022-12-03 11,0.02717482546755128,0.027901235867107393
2022-12-03 12,0.0221968570353094,0.022785617080291788
2022-12-03 13,0.026501406894664275,0.02720381615861634
2022-12-03 14,0.02672691378204838,0.027434757919526848
2022-12-03 15,0.02431703538867278,0.02495664604398589
2022-12-03 16,0.027278299550924524,0.02799102048348918
2022-12-03 17,0.024453194386961776,0.025088657432113658
2022-12-03 18,0.021735895294339443,0.02229654646235318
2022-12-03 19,0.04430083719739586,0.04543281892048952
2022-12-03 20,0.041501962318932224,0.0425907740164749
2022-12-03 21,0.025925995240442975,0.02662579866480971
2022-12-03 22,0.024654875220686497,0.02532787712267371
2022-12-03 23,0.02206600184213167,0.022673074101570715
2022-12-04 00,0.02503370411167862,0.025738841590795918
2022-12-04 01,0.02398649386478158,0.02468791368149487
2022-12-04 02,0.028100273030587344,0.028937059281023546
2022-12-04 03,0.020835927307544796,0.02145854717549842
2022-12-04 04,0.022604891259841154,0.023288716271186685
2022-12-04 05,0.034137957801599284,0.03516859510351601
2022-12-04 06,0.025567674958325057,0.02633951565533974
2022-12-04 07,0.028402619048766026,0.029257591741430354
2022-12-04 08,0.02694714705179612,0.027723424706685845
2022-12-04 09,0.02799064100603402,0.028786797848301304
2022-12-04 10,0.035367611842386903,0.036340647346939696
2022-12-04 11,0.026558512203831156,0.027280567330524752
2022-12-04 12,0.02284698702458157,0.023460674877379257
2022-12-04 13,0.021003139166367018,0.021565723251140433
2022-12-04 14,0.024746734441523147,0.02541122989324067
2022-12-04 15,0.02192286876740225,0.02250747860119494
2022-12-04 16,0.022172828554136707,0.022764193748830982
2022-12-04 17,0.022747062864784458,0.023352206240175984
2022-12-04 18,0.028734893982052766,0.02950020632425398
2022-12-04 19,0.026477855113077556,0.027188450127749102
2022-12-04 20,0.024956786358457158,0.025634531460344737
2022-12-04 21,0.02627396444359694,0.026998297743909726
2022-12-04 22,0.023120526757739793,0.023762207797489245
2022-12-04 23,0.024047492245147115,0.024726289267498813
2022-12-05 00,0.029737024369797294,0.03059495599377456
2022-12-05 01,0.024634236992761797,0.025373504553195453
2022-12-05 02,0.02411860001157088,0.024864784077077883
2022-12-05 03,0.034261782698066345,0.03530556630442355
2022-12-05 04,0.029170939058183076,0.030082424933266624
2022-12-05 05,0.023463482489769674,0.02420241352215713
2022-12-05 06,0.03896548956337729,0.04011834449602703
2022-12-05 07,0.03579886964608356,0.0367987119715264
2022-12-05 08,0.035559706944881773,0.03651894956353528
